Bit_Position,Symbol,Bit_Substructure
0, >=,4H
1, >=,8H
2, >=,16 H
3, >=,32 H
4, >=,1Li
5, >=,2Li
6, >=,1B
7, >=,2B
8, >=,4B
9, >=,2C
10, >=,4C
11, >=,8C
12, >=,16 C
13, >=,32 C
14, >=,1N
15, >=,2N
16, >=,4N
17, >=,8N
18, >=,1O
19, >=,2O
20, >=,4O
21, >=,8O
22, >=,16 O
23, >=,1F
24, >=,2F
25, >=,4F
26, >=,1Na
27, >=,2Na
28, >=,1Si
29, >=,2Si
30, >=,1P
31, >=,2P
32, >=,4P
33, >=,1S
34, >=,2S
35, >=,4S
36, >=,8S
37, >=,1Cl
38, >=,2Cl
39, >=,4Cl
40, >=,8Cl
41, >=,1K
42, >=,2K
43, >=,1Br
44, >=,2Br
45, >=,4Br
46, >=,1I
47, >=,2I
48, >=,4I
49, >=,1Be
50, >=,1Mg
51, >=,1Al
52, >=,1Ca
53, >=,1Sc
54, >=,1Ti
55, >=,1V
56, >=,1Cr
57, >=,1Mn
58, >=,1Fe
59, >=,1Co
60, >=,1Ni
61, >=,1Cu
62, >=,1Zn
63, >=,1Ga
64, >=,1Ge
65, >=,1As
66, >=,1Se
67, >=,1Kr
68, >=,1Rb
69, >=,1Sr
70, >=,1Y
71, >=,1Zr
72, >=,1Nb
73, >=,1Mo
74, >=,1Ru
75, >=,1Rh
76, >=,1Pd
77, >=,1Ag
78, >=,1Cd
79, >=,1In
80, >=,1Sn
81, >=,1Sb
82, >=,1Te
83, >=,1Xe
84, >=,1Cs
85, >=,1Ba
86, >=,1Lu
87, >=,1Hf
88, >=,1Ta
89, >=,1W
90, >=,1Re
91, >=,1Os
92, >=,1Ir
93, >=,1Pt
94, >=,1Au
95, >=,1Hg
96, >=,1Tl
97, >=,1Pb
98, >=,1Bi
99, >=,1La
100, >=,1Ce
101, >=,1Pr
102, >=,1Nd
103, >=,1Pm
104, >=,1Sm
105, >=,1Eu
106, >=,1Gd
107, >=,1Tb
108, >=,1Dy
109, >=,1Ho
110, >=,1Er
111, >=,1Tm
112, >=,1Yb
113, >=,1Tc
114, >=,1U
115, >=,1any ring size 3
116, >=,1saturated or aromatic carbon-only ring size 3
117, >=,1saturated or aromatic nitrogen-containing ring size 3
118, >=,1saturated or aromatic heteroatom-containing ring size 3
119, >=,1unsaturated non-aromatic carbon-only ring size 3
120, >=,1unsaturated non-aromatic nitrogen-containing ring size 3
121, >=,1unsaturated non-aromatic heteroatom-containing ring size
122, >=,2any ring size 3
123, >=,2saturated or aromatic carbon-only ring size 3
124, >=,2saturated or aromatic nitrogen-containing ring size 3
125, >=,2saturated or aromatic heteroatom-containing ring size 3
126, >=,2unsaturated non-aromatic carbon-only ring size 3
127, >=,2unsaturated non-aromatic nitrogen-containing ring size 3
128, >=,2unsaturated non-aromatic heteroatom-containing ring size
129, >=,1any ring size 4
130, >=,1saturated or aromatic carbon-only ring size 4
131, >=,1saturated or aromatic nitrogen-containing ring size 4
132, >=,1saturated or aromatic heteroatom-containing ring size 4
133, >=,1unsaturated non-aromatic carbon-only ring size 4
134, >=,1unsaturated non-aromatic nitrogen-containing ring size 4
135, >=,1unsaturated non-aromatic heteroatom-containing ring size
136, >=,2any ring size 4
137, >=,2saturated or aromatic carbon-only ring size 4
138, >=,2saturated or aromatic nitrogen-containing ring size 4
139, >=,2saturated or aromatic heteroatom-containing ring size 4
140, >=,2unsaturated non-aromatic carbon-only ring size 4
141, >=,2unsaturated non-aromatic nitrogen-containing ring size 4
142, >=,2unsaturated non-aromatic heteroatom-containing ring size
143, >=,1any ring size 5
144, >=,1saturated or aromatic carbon-only ring size 5
145, >=,1saturated or aromatic nitrogen-containing ring size 5
146, >=,1saturated or aromatic heteroatom-containing ring size 5
147, >=,1unsaturated non-aromatic carbon-only ring size 5
148, >=,1unsaturated non-aromatic nitrogen-containing ring size 5
149, >=,1unsaturated non-aromatic heteroatom-containing ring size
150, >=,2any ring size 5
151, >=,2saturated or aromatic carbon-only ring size 5
152, >=,2saturated or aromatic nitrogen-containing ring size 5
153, >=,2saturated or aromatic heteroatom-containing ring size 5
154, >=,2unsaturated non-aromatic carbon-only ring size 5
155, >=,2unsaturated non-aromatic nitrogen-containing ring size 5
156, >=,2unsaturated non-aromatic heteroatom-containing ring size
157, >=,3any ring size 5
158, >=,3saturated or aromatic carbon-only ring size 5
159, >=,3saturated or aromatic nitrogen-containing ring size 5
160, >=,3saturated or aromatic heteroatom-containing ring size 5
161, >=,3unsaturated non-aromatic carbon-only ring size 5
162, >=,3unsaturated non-aromatic nitrogen-containing ring size 5
163, >=,3unsaturated non-aromatic heteroatom-containing ring size
164, >=,4any ring size 5
165, >=,4saturated or aromatic carbon-only ring size 5
166, >=,4saturated or aromatic nitrogen-containing ring size 5
